scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,ml_bias,structural_shift
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.0,0.4333326461791402,2,0.4055548684013624,1.0,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.4333326461791402,0.4644437572902513,4,0.4444437572902513,1.0,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.4644437572902513,0.49666597951247354,3,0.48148079432728835,0.6666666666666666,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.49666597951247354,0.5333326461791402,2,0.511110423956918,0.5,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.5333326461791402,0.5888882017346957,4,0.5472215350680291,0.25,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.5888882017346957,0.6155548684013624,3,0.6037030165495105,0.3333333333333333,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.6155548684013624,0.6333326461791402,2,0.6222215350680291,1.0,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.6333326461791402,0.6466659795124735,4,0.6388882017346957,0.75,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.6466659795124735,0.6666659795124735,1,0.6555548684013625,1.0,0.0,10.0
B3_misspec_regret__struct1000__ml0__seed270100,B3.MISSPECIFICATION_REGRET_GRID,B,270100,structural_only,0.6666659795124735,1.0,5,0.6733326461791401,0.4,0.0,10.0
