scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
smoke_metrics_phase7,uncorrected,0.0,0.39489305889255466,20,0.35640493471386436,0.65
smoke_metrics_phase7,uncorrected,0.39489305889255466,0.4223651152802062,20,0.40469756269653673,0.6
smoke_metrics_phase7,uncorrected,0.4223651152802062,0.4494152890615207,20,0.4411505544126877,0.5
smoke_metrics_phase7,uncorrected,0.4494152890615207,0.47610199845035656,20,0.47315289435545155,0.5
smoke_metrics_phase7,uncorrected,0.47610199845035656,0.5030406253896187,20,0.4935234430334366,0.3
smoke_metrics_phase7,uncorrected,0.5030406253896187,0.5295581184861647,20,0.5188482359753943,0.55
smoke_metrics_phase7,uncorrected,0.5295581184861647,0.5565498287369509,20,0.5430987544553169,0.65
smoke_metrics_phase7,uncorrected,0.5565498287369509,0.5836327451812958,20,0.5713865874874696,0.45
smoke_metrics_phase7,uncorrected,0.5836327451812958,0.6107744761822259,20,0.6010410851785137,0.7
smoke_metrics_phase7,uncorrected,0.6107744761822259,1.0,20,0.6494402098895173,0.55
